country,population,total,one_shot,two_shots,three_shots,date,month,year,one_shot_perc,two_shots_perc,three_shots_perc
Brazil,215313504,6206680,5482925,723755,,2021-02-17,2021-02,2021,0.03,0.0,
Brazil,215313504,6535156,5640483,894673,,2021-02-18,2021-02,2021,0.03,0.0,
Brazil,215313504,6813168,5756361,1056807,,2021-02-19,2021-02,2021,0.03,0.0,
Brazil,215313504,6950802,5817908,1132894,,2021-02-20,2021-02,2021,0.03,0.01,
Brazil,215313504,7028356,5857080,1171276,,2021-02-21,2021-02,2021,0.03,0.01,
Brazil,215313504,7297061,6002873,1294188,,2021-02-22,2021-02,2021,0.03,0.01,
Brazil,215313504,7551676,6116082,1435594,,2021-02-23,2021-02,2021,0.03,0.01,
Brazil,215313504,7799000,6202055,1596945,,2021-02-24,2021-02,2021,0.03,0.01,
Brazil,215313504,8101787,6346769,1755018,,2021-02-25,2021-02,2021,0.03,0.01,
Brazil,215313504,8322042,6437836,1884206,,2021-02-26,2021-02,2021,0.03,0.01,
Brazil,215313504,8433568,6518628,1914940,,2021-02-27,2021-02,2021,0.03,0.01,
Brazil,215313504,8465403,6542206,1923197,,2021-02-28,2021-02,2021,0.03,0.01,
Brazil,215313504,8841027,6806293,2034734,,2021-03-01,2021-03,2021,0.03,0.01,
Brazil,215313504,9277322,7114219,2163103,,2021-03-02,2021-03,2021,0.03,0.01,
Brazil,215313504,9739676,7417852,2321824,,2021-03-03,2021-03,2021,0.03,0.01,
Brazil,215313504,10169160,7701146,2468014,,2021-03-04,2021-03,2021,0.04,0.01,
Brazil,215313504,10576542,7958939,2617603,,2021-03-05,2021-03,2021,0.04,0.01,
Brazil,215313504,10830688,8142004,2688684,,2021-03-06,2021-03,2021,0.04,0.01,
Brazil,215313504,10948409,8227671,2720738,,2021-03-07,2021-03,2021,0.04,0.01,
Brazil,215313504,11357494,8504966,2852528,,2021-03-08,2021-03,2021,0.04,0.01,
Brazil,215313504,11756131,8764547,2991584,,2021-03-09,2021-03,2021,0.04,0.01,
Brazil,215313504,12181103,9013293,3167810,,2021-03-10,2021-03,2021,0.04,0.01,
Brazil,215313504,12613179,9298511,3314668,,2021-03-11,2021-03,2021,0.04,0.02,
Brazil,215313504,13017720,9547655,3470065,,2021-03-12,2021-03,2021,0.04,0.02,
Brazil,215313504,13223729,9669967,3553762,,2021-03-13,2021-03,2021,0.04,0.02,
Brazil,215313504,13286664,9718209,3568455,,2021-03-14,2021-03,2021,0.05,0.02,
Brazil,215313504,13763573,10087787,3675786,,2021-03-15,2021-03,2021,0.05,0.02,
Brazil,215313504,14198794,10402388,3796406,,2021-03-16,2021-03,2021,0.05,0.02,
Brazil,215313504,14648691,10725474,3923217,,2021-03-17,2021-03,2021,0.05,0.02,
Brazil,215313504,15087602,11055747,4031855,,2021-03-18,2021-03,2021,0.05,0.02,
Brazil,215313504,15623349,11509501,4113848,,2021-03-19,2021-03,2021,0.05,0.02,
Brazil,215313504,15883688,11739832,4143856,,2021-03-20,2021-03,2021,0.05,0.02,
Brazil,215313504,15980363,11818482,4161881,,2021-03-21,2021-03,2021,0.05,0.02,
Brazil,215313504,16567102,12314847,4252255,,2021-03-22,2021-03,2021,0.06,0.02,
Brazil,215313504,17157631,12817812,4339819,,2021-03-23,2021-03,2021,0.06,0.02,
Brazil,215313504,17886781,13436373,4450408,,2021-03-24,2021-03,2021,0.06,0.02,
Brazil,215313504,18655345,14102934,4552411,,2021-03-25,2021-03,2021,0.07,0.02,
Brazil,215313504,19577786,14928869,4648917,,2021-03-26,2021-03,2021,0.07,0.02,
Brazil,215313504,19962072,15282128,4679944,,2021-03-27,2021-03,2021,0.07,0.02,
Brazil,215313504,20216938,15513974,4702964,,2021-03-28,2021-03,2021,0.07,0.02,
Brazil,215313504,21160763,16335279,4825484,,2021-03-29,2021-03,2021,0.08,0.02,
Brazil,215313504,21950245,16995184,4955061,,2021-03-30,2021-03,2021,0.08,0.02,
Brazil,215313504,22839287,17745732,5093555,,2021-03-31,2021-03,2021,0.08,0.02,
Brazil,215313504,23880805,18639028,5241777,,2021-04-01,2021-04,2021,0.09,0.02,
Brazil,215313504,24181208,18900837,5280371,,2021-04-02,2021-04,2021,0.09,0.02,
Brazil,215313504,24575470,19222342,5353128,,2021-04-03,2021-04,2021,0.09,0.02,
Brazil,215313504,24910668,19510333,5400335,,2021-04-04,2021-04,2021,0.09,0.03,
Brazil,215313504,25658532,20056296,5602236,,2021-04-05,2021-04,2021,0.09,0.03,
Brazil,215313504,26736003,20850120,5885883,,2021-04-06,2021-04,2021,0.1,0.03,
Brazil,215313504,27644079,21538484,6105595,,2021-04-07,2021-04,2021,0.1,0.03,
Brazil,215313504,28653848,22246612,6407236,,2021-04-08,2021-04,2021,0.1,0.03,
Brazil,215313504,29544578,22693305,6851273,,2021-04-09,2021-04,2021,0.11,0.03,
Brazil,215313504,30084664,23097172,6987492,,2021-04-10,2021-04,2021,0.11,0.03,
Brazil,215313504,30356896,23300896,7056000,,2021-04-11,2021-04,2021,0.11,0.03,
Brazil,215313504,31316420,23910515,7405905,,2021-04-12,2021-04,2021,0.11,0.03,
Brazil,215313504,32217205,24473138,7744067,,2021-04-13,2021-04,2021,0.11,0.04,
Brazil,215313504,33148388,24996380,8152008,,2021-04-14,2021-04,2021,0.12,0.04,
Brazil,215313504,34050325,25478194,8572131,,2021-04-15,2021-04,2021,0.12,0.04,
Brazil,215313504,34993448,25810304,9183144,,2021-04-16,2021-04,2021,0.12,0.04,
Brazil,215313504,35603882,26085155,9518727,,2021-04-17,2021-04,2021,0.12,0.04,
Brazil,215313504,35817144,26210282,9606862,,2021-04-18,2021-04,2021,0.12,0.04,
Brazil,215313504,36910479,26707227,10203252,,2021-04-19,2021-04,2021,0.12,0.05,
Brazil,215313504,37909705,27184073,10725632,,2021-04-20,2021-04,2021,0.13,0.05,
Brazil,215313504,38467754,27518053,10949701,,2021-04-21,2021-04,2021,0.13,0.05,
Brazil,215313504,39291064,27887014,11404050,,2021-04-22,2021-04,2021,0.13,0.05,
Brazil,215313504,41073104,28783905,12289199,,2021-04-23,2021-04,2021,0.13,0.06,
Brazil,215313504,41494939,28981002,12513937,,2021-04-24,2021-04,2021,0.13,0.06,
Brazil,215313504,41626753,29041497,12585256,,2021-04-25,2021-04,2021,0.13,0.06,
Brazil,215313504,42787199,29601947,13185252,,2021-04-26,2021-04,2021,0.14,0.06,
Brazil,215313504,44287510,30275923,14011587,,2021-04-27,2021-04,2021,0.14,0.07,
Brazil,215313504,45379804,30748674,14631130,,2021-04-28,2021-04,2021,0.14,0.07,
Brazil,215313504,46426188,31243694,15182494,,2021-04-29,2021-04,2021,0.15,0.07,
Brazil,215313504,47399150,31696792,15702358,,2021-04-30,2021-04,2021,0.15,0.07,
Brazil,215313504,47663526,31830880,15832646,,2021-05-01,2021-05,2021,0.15,0.07,
Brazil,215313504,47755613,31884404,15871209,,2021-05-02,2021-05,2021,0.15,0.07,
Brazil,215313504,48643324,32345310,16298014,,2021-05-03,2021-05,2021,0.15,0.08,
Brazil,215313504,49626137,32896171,16729966,,2021-05-04,2021-05,2021,0.15,0.08,
Brazil,215313504,50576224,33490395,17085829,,2021-05-05,2021-05,2021,0.16,0.08,
Brazil,215313504,51624587,34271192,17353395,,2021-05-06,2021-05,2021,0.16,0.08,
Brazil,215313504,52647815,35008550,17639265,,2021-05-07,2021-05,2021,0.16,0.08,
Brazil,215313504,52972460,35253389,17719071,,2021-05-08,2021-05,2021,0.16,0.08,
Brazil,215313504,53064124,35318058,17746066,,2021-05-09,2021-05,2021,0.16,0.08,
Brazil,215313504,54008862,35926219,18082643,,2021-05-10,2021-05,2021,0.17,0.08,
Brazil,215313504,54912939,36523507,18389432,,2021-05-11,2021-05,2021,0.17,0.09,
Brazil,215313504,55907165,37233983,18673182,,2021-05-12,2021-05,2021,0.17,0.09,
Brazil,215313504,56583962,37768491,18815471,,2021-05-13,2021-05,2021,0.18,0.09,
Brazil,215313504,57313642,38320507,18993135,,2021-05-14,2021-05,2021,0.18,0.09,
Brazil,215313504,57668646,38570631,19098015,,2021-05-15,2021-05,2021,0.18,0.09,
Brazil,215313504,57935280,38752714,19182566,,2021-05-16,2021-05,2021,0.18,0.09,
Brazil,215313504,58714631,39284275,19430356,,2021-05-17,2021-05,2021,0.18,0.09,
Brazil,215313504,59603625,39891922,19711703,,2021-05-18,2021-05,2021,0.19,0.09,
Brazil,215313504,60363334,40435632,19927702,,2021-05-19,2021-05,2021,0.19,0.09,
Brazil,215313504,61297420,41089722,20207698,,2021-05-20,2021-05,2021,0.19,0.09,
Brazil,215313504,62122684,41659039,20463645,,2021-05-21,2021-05,2021,0.19,0.1,
Brazil,215313504,62459684,41882011,20577673,,2021-05-22,2021-05,2021,0.19,0.1,
Brazil,215313504,63278821,42474538,20804283,,2021-05-23,2021-05,2021,0.2,0.1,
Brazil,215313504,64098809,43008064,21090745,,2021-05-24,2021-05,2021,0.2,0.1,
Brazil,215313504,64918585,43525933,21392652,,2021-05-25,2021-05,2021,0.2,0.1,
Brazil,215313504,65668438,44045168,21623270,,2021-05-26,2021-05,2021,0.2,0.1,
Brazil,215313504,66363506,44530761,21832745,,2021-05-27,2021-05,2021,0.21,0.1,
Brazil,215313504,67359292,45284397,22074895,,2021-05-28,2021-05,2021,0.21,0.1,
Brazil,215313504,67761958,45604680,22157278,,2021-05-29,2021-05,2021,0.21,0.1,
Brazil,215313504,67874735,45684962,22189773,,2021-05-30,2021-05,2021,0.21,0.1,
Brazil,215313504,68665647,46328168,22337479,,2021-05-31,2021-05,2021,0.22,0.1,
Brazil,215313504,69477898,46932629,22545269,,2021-06-01,2021-06,2021,0.22,0.1,
Brazil,215313504,70685368,47852026,22833342,,2021-06-02,2021-06,2021,0.22,0.11,
Brazil,215313504,71245492,48321463,22924029,,2021-06-03,2021-06,2021,0.22,0.11,
Brazil,215313504,71961789,48963900,22997889,,2021-06-04,2021-06,2021,0.23,0.11,
Brazil,215313504,72586950,49491413,23095537,,2021-06-05,2021-06,2021,0.23,0.11,
Brazil,215313504,72811509,49685501,23126008,,2021-06-06,2021-06,2021,0.23,0.11,
Brazil,215313504,73614079,50381104,23232975,,2021-06-07,2021-06,2021,0.23,0.11,
Brazil,215313504,74920113,51502554,23417559,,2021-06-08,2021-06,2021,0.24,0.11,
Brazil,215313504,76117123,52567517,23549606,,2021-06-09,2021-06,2021,0.24,0.11,
Brazil,215313504,77243101,53577624,23665477,,2021-06-10,2021-06,2021,0.25,0.11,
Brazil,215313504,78471914,54685737,23786177,,2021-06-11,2021-06,2021,0.25,0.11,
Brazil,215313504,79118243,55292343,23825900,,2021-06-12,2021-06,2021,0.26,0.11,
Brazil,215313504,79466212,55617274,23848938,,2021-06-13,2021-06,2021,0.26,0.11,
Brazil,215313504,80577338,56657381,23919957,,2021-06-14,2021-06,2021,0.26,0.11,
Brazil,215313504,81940689,57910386,24030303,,2021-06-15,2021-06,2021,0.27,0.11,
Brazil,215313504,83181485,59068483,24113002,,2021-06-16,2021-06,2021,0.27,0.11,
Brazil,215313504,85441106,61187304,24253802,,2021-06-17,2021-06,2021,0.28,0.11,
Brazil,215313504,87160471,62785859,24374612,,2021-06-18,2021-06,2021,0.29,0.11,
Brazil,215313504,88108418,63659153,24449265,,2021-06-19,2021-06,2021,0.3,0.11,
Brazil,215313504,88570223,64099339,24470884,,2021-06-20,2021-06,2021,0.3,0.11,
Brazil,215313504,90013336,65421825,24591511,,2021-06-21,2021-06,2021,0.3,0.11,
Brazil,215313504,91420290,66688623,24731667,,2021-06-22,2021-06,2021,0.31,0.11,
Brazil,215313504,92782243,67890907,24891336,,2021-06-23,2021-06,2021,0.32,0.12,
Brazil,215313504,94322179,69113521,25208658,,2021-06-24,2021-06,2021,0.32,0.12,
Brazil,215313504,95764065,70369603,25404254,,2021-06-25,2021-06,2021,0.33,0.12,
Brazil,215313504,96545254,71090361,25520772,,2021-06-26,2021-06,2021,0.33,0.12,
Brazil,215313504,96789753,71319026,25568632,,2021-06-27,2021-06,2021,0.33,0.12,
Brazil,215313504,97929680,72324820,25866869,,2021-06-28,2021-06,2021,0.34,0.12,
Brazil,215313504,99828676,73943650,26348752,,2021-06-29,2021-06,2021,0.34,0.12,
Brazil,215313504,101167462,75097273,26642477,,2021-06-30,2021-06,2021,0.35,0.12,
Brazil,215313504,102561737,76284848,26949200,,2021-07-01,2021-07,2021,0.35,0.13,
Brazil,215313504,104047565,77586349,27259467,,2021-07-02,2021-07,2021,0.36,0.13,
Brazil,215313504,104753510,78210253,27418130,,2021-07-03,2021-07,2021,0.36,0.13,
Brazil,215313504,105097389,78512727,27489232,,2021-07-04,2021-07,2021,0.36,0.13,
Brazil,215313504,106696625,79835457,27854683,,2021-07-05,2021-07,2021,0.37,0.13,
Brazil,215313504,108247755,81152984,28317786,,2021-07-06,2021-07,2021,0.38,0.13,
Brazil,215313504,109976127,82649595,28929443,,2021-07-07,2021-07,2021,0.38,0.13,
Brazil,215313504,111573265,83948802,29547039,,2021-07-08,2021-07,2021,0.39,0.14,
Brazil,215313504,112999344,85166293,30044191,,2021-07-09,2021-07,2021,0.4,0.14,
Brazil,215313504,113929447,85922323,30387607,,2021-07-10,2021-07,2021,0.4,0.14,
Brazil,215313504,114350128,86272249,30545014,,2021-07-11,2021-07,2021,0.4,0.14,
Brazil,215313504,115654260,87264587,31003288,,2021-07-12,2021-07,2021,0.41,0.14,
Brazil,215313504,117154411,88385719,31569503,,2021-07-13,2021-07,2021,0.41,0.15,
Brazil,215313504,118689127,89449394,32219034,,2021-07-14,2021-07,2021,0.42,0.15,
Brazil,215313504,120155331,90743692,32832460,,2021-07-15,2021-07,2021,0.42,0.15,
Brazil,215313504,121651233,91739486,33467323,,2021-07-16,2021-07,2021,0.43,0.16,
Brazil,215313504,122615695,92434146,33818142,,2021-07-17,2021-07,2021,0.43,0.16,
Brazil,215313504,122859535,92630599,33891244,,2021-07-18,2021-07,2021,0.43,0.16,
Brazil,215313504,124433796,93786760,34383717,,2021-07-19,2021-07,2021,0.44,0.16,
Brazil,215313504,126315897,95101845,35053766,,2021-07-20,2021-07,2021,0.44,0.16,
Brazil,215313504,128199383,96304601,35808080,,2021-07-21,2021-07,2021,0.45,0.17,
Brazil,215313504,130131385,97428671,36676823,,2021-07-22,2021-07,2021,0.45,0.17,
Brazil,215313504,131858906,98712936,37161762,,2021-07-23,2021-07,2021,0.46,0.17,
Brazil,215313504,132812191,99391757,37463852,,2021-07-24,2021-07,2021,0.46,0.17,
Brazil,215313504,133139145,99610570,37583404,,2021-07-25,2021-07,2021,0.46,0.17,
Brazil,215313504,134540217,100522817,38110566,,2021-07-26,2021-07,2021,0.47,0.18,
Brazil,215313504,136158369,101528055,38761406,,2021-07-27,2021-07,2021,0.47,0.18,
Brazil,215313504,137944954,102535345,39603390,,2021-07-28,2021-07,2021,0.48,0.18,
Brazil,215313504,139483586,103363365,40360686,,2021-07-29,2021-07,2021,0.48,0.19,
Brazil,215313504,141319627,104477597,41116889,,2021-07-30,2021-07,2021,0.49,0.19,
Brazil,215313504,142301917,105083580,41507968,,2021-07-31,2021-07,2021,0.49,0.19,
Brazil,215313504,142598659,105292650,41599313,,2021-08-01,2021-08,2021,0.49,0.19,
Brazil,215313504,143762758,105934725,42147735,,2021-08-02,2021-08,2021,0.49,0.2,
Brazil,215313504,145618595,107137953,42823483,,2021-08-03,2021-08,2021,0.5,0.2,
Brazil,215313504,148054492,108658469,43769705,,2021-08-04,2021-08,2021,0.5,0.2,
Brazil,215313504,149763010,109745651,44414256,,2021-08-05,2021-08,2021,0.51,0.21,
Brazil,215313504,151506191,110841845,45086810,,2021-08-06,2021-08,2021,0.51,0.21,
Brazil,215313504,152313188,111342715,45397341,,2021-08-07,2021-08,2021,0.52,0.21,
Brazil,215313504,152680029,111566720,45542992,,2021-08-08,2021-08,2021,0.52,0.21,
Brazil,215313504,154190964,112476618,46160465,,2021-08-09,2021-08,2021,0.52,0.21,
Brazil,215313504,156399040,113880889,46980025,,2021-08-10,2021-08,2021,0.53,0.22,
Brazil,215313504,158422879,115251518,47644783,,2021-08-11,2021-08,2021,0.54,0.22,
Brazil,215313504,160674246,116780678,48383179,,2021-08-12,2021-08,2021,0.54,0.22,
Brazil,215313504,162832096,118175020,49164242,,2021-08-13,2021-08,2021,0.55,0.23,
Brazil,215313504,164215233,119132205,49606493,,2021-08-14,2021-08,2021,0.55,0.23,
Brazil,215313504,164680217,119504650,49705914,,2021-08-15,2021-08,2021,0.56,0.23,
Brazil,215313504,166750328,120686544,50600926,,2021-08-16,2021-08,2021,0.56,0.24,
Brazil,215313504,169753003,122541955,51771235,,2021-08-17,2021-08,2021,0.57,0.24,
Brazil,215313504,171741149,123678883,52629848,,2021-08-18,2021-08,2021,0.57,0.24,
Brazil,215313504,174263122,125160916,53680684,,2021-08-19,2021-08,2021,0.58,0.25,
Brazil,215313504,176376890,126384146,54578690,,2021-08-20,2021-08,2021,0.59,0.25,
Brazil,215313504,177587502,127168248,55013076,,2021-08-21,2021-08,2021,0.59,0.26,
Brazil,215313504,178173214,127600937,55170955,,2021-08-22,2021-08,2021,0.59,0.26,
Brazil,215313504,180251675,128859272,55999780,,2021-08-23,2021-08,2021,0.6,0.26,
Brazil,215313504,182654763,130267899,57002150,,2021-08-24,2021-08,2021,0.61,0.26,
Brazil,215313504,184707573,131489509,57838947,,2021-08-25,2021-08,2021,0.61,0.27,
Brazil,215313504,186102952,131918133,58811744,,2021-08-26,2021-08,2021,0.61,0.27,
Brazil,215313504,188045400,132939921,59746726,,2021-08-27,2021-08,2021,0.62,0.28,
Brazil,215313504,189376018,133608741,60412846,,2021-08-28,2021-08,2021,0.62,0.28,
Brazil,215313504,189971293,133947333,60672443,,2021-08-29,2021-08,2021,0.62,0.28,
Brazil,215313504,191515901,134777145,61384034,,2021-08-30,2021-08,2021,0.63,0.29,
Brazil,215313504,194176380,136127045,62698760,,2021-08-31,2021-08,2021,0.63,0.29,
Brazil,215313504,196166473,137067385,63754375,,2021-09-01,2021-09,2021,0.64,0.3,
Brazil,215313504,198142390,137897705,64905651,282,2021-09-02,2021-09,2021,0.64,0.3,0.0
Brazil,215313504,200077775,138653061,66093601,373,2021-09-03,2021-09,2021,0.64,0.31,0.0
Brazil,215313504,201126108,139039441,66758831,537,2021-09-04,2021-09,2021,0.65,0.31,0.0
Brazil,215313504,201522079,139210778,66984704,780,2021-09-05,2021-09,2021,0.65,0.31,0.0
Brazil,215313504,203024669,139985523,67702291,14059,2021-09-06,2021-09,2021,0.65,0.31,0.0
Brazil,215313504,203577189,140218809,68020838,17205,2021-09-07,2021-09,2021,0.65,0.32,0.0
Brazil,215313504,205296045,140820674,69133319,25446,2021-09-08,2021-09,2021,0.65,0.32,0.0
Brazil,215313504,207509808,141565747,70594540,37195,2021-09-09,2021-09,2021,0.66,0.33,0.0
Brazil,215313504,209917761,142382292,72173074,52191,2021-09-10,2021-09,2021,0.66,0.34,0.0
Brazil,215313504,211223433,142798088,73050585,67596,2021-09-11,2021-09,2021,0.66,0.34,0.0
Brazil,215313504,211710814,142983971,73355123,68590,2021-09-12,2021-09,2021,0.66,0.34,0.0
Brazil,215313504,213203733,143433748,74381040,88874,2021-09-13,2021-09,2021,0.67,0.35,0.0
Brazil,215313504,215338063,144100429,75814267,128791,2021-09-14,2021-09,2021,0.67,0.35,0.0
Brazil,215313504,217240047,144761529,76990802,197261,2021-09-15,2021-09,2021,0.67,0.36,0.0
Brazil,215313504,218735998,145238112,77988754,223085,2021-09-16,2021-09,2021,0.67,0.36,0.0
Brazil,215313504,221071595,146000277,79542916,249365,2021-09-17,2021-09,2021,0.68,0.37,0.0
Brazil,215313504,222156927,146371189,80250454,259046,2021-09-18,2021-09,2021,0.68,0.37,0.0
Brazil,215313504,222581680,146553215,80492254,260661,2021-09-19,2021-09,2021,0.68,0.37,0.0
Brazil,215313504,223781527,146923305,81250428,334020,2021-09-20,2021-09,2021,0.68,0.38,0.0
Brazil,215313504,225592884,147473077,82467468,381549,2021-09-21,2021-09,2021,0.68,0.38,0.0
Brazil,215313504,227304555,147966925,83644344,427712,2021-09-22,2021-09,2021,0.69,0.39,0.0
Brazil,215313504,229100357,148510818,84869772,458735,2021-09-23,2021-09,2021,0.69,0.39,0.0
Brazil,215313504,230893002,148994474,86119839,520839,2021-09-24,2021-09,2021,0.69,0.4,0.0
Brazil,215313504,231983152,149386359,86796636,543561,2021-09-25,2021-09,2021,0.69,0.4,0.0
Brazil,215313504,232495892,149565073,87122476,552379,2021-09-26,2021-09,2021,0.69,0.4,0.0
Brazil,215313504,233772505,149871708,87828174,818917,2021-09-27,2021-09,2021,0.7,0.41,0.0
Brazil,215313504,235617220,150382518,89101310,882537,2021-09-28,2021-09,2021,0.7,0.41,0.0
Brazil,215313504,237320144,150881737,90253376,937694,2021-09-29,2021-09,2021,0.7,0.42,0.0
Brazil,215313504,239190412,151420924,91430204,1095300,2021-09-30,2021-09,2021,0.7,0.42,0.01
Brazil,215313504,241200485,151901209,92759486,1302298,2021-10-01,2021-10,2021,0.71,0.43,0.01
Brazil,215313504,242252204,152166987,93442685,1407110,2021-10-02,2021-10,2021,0.71,0.43,0.01
Brazil,215313504,242632087,152277364,93674362,1445470,2021-10-03,2021-10,2021,0.71,0.44,0.01
Brazil,215313504,243733571,152519888,94337578,1643658,2021-10-04,2021-10,2021,0.71,0.44,0.01
Brazil,215313504,245292452,152926450,95257454,1877233,2021-10-05,2021-10,2021,0.71,0.44,0.01
Brazil,215313504,247057054,153310124,96345260,2171857,2021-10-06,2021-10,2021,0.71,0.45,0.01
Brazil,215313504,248820533,153699490,97382944,2509515,2021-10-07,2021-10,2021,0.71,0.45,0.01
Brazil,215313504,250516351,154010913,98464451,2814838,2021-10-08,2021-10,2021,0.72,0.46,0.01
Brazil,215313504,251524115,154181567,99070817,3047975,2021-10-09,2021-10,2021,0.72,0.46,0.01
Brazil,215313504,252149684,154292724,99520881,3116010,2021-10-10,2021-10,2021,0.72,0.46,0.01
Brazil,215313504,253164892,154580496,100085018,3281210,2021-10-11,2021-10,2021,0.72,0.46,0.02
Brazil,215313504,253561158,154693150,100324302,3326730,2021-10-12,2021-10,2021,0.72,0.47,0.02
Brazil,215313504,254426529,154798792,100864092,3545399,2021-10-13,2021-10,2021,0.72,0.47,0.02
Brazil,215313504,256762148,155526988,102264366,3755046,2021-10-14,2021-10,2021,0.72,0.47,0.02
Brazil,215313504,258849471,156015804,103527053,4093579,2021-10-15,2021-10,2021,0.72,0.48,0.02
Brazil,215313504,260157865,156313972,104314315,4320556,2021-10-16,2021-10,2021,0.73,0.48,0.02
Brazil,215313504,260683274,156420266,104630777,4428544,2021-10-17,2021-10,2021,0.73,0.49,0.02
Brazil,215313504,261824131,156558619,105223364,4839664,2021-10-18,2021-10,2021,0.73,0.49,0.02
Brazil,215313504,263569544,156892317,106356335,5137429,2021-10-19,2021-10,2021,0.73,0.49,0.02
Brazil,215313504,265607325,157322792,107582227,5525142,2021-10-20,2021-10,2021,0.73,0.5,0.03
Brazil,215313504,266620080,157475037,108197260,5771569,2021-10-21,2021-10,2021,0.73,0.5,0.03
Brazil,215313504,267964026,157679997,108994434,6117946,2021-10-22,2021-10,2021,0.73,0.51,0.03
Brazil,215313504,268638494,157810514,109422127,6234557,2021-10-23,2021-10,2021,0.73,0.51,0.03
Brazil,215313504,269442502,157986323,109945760,6340977,2021-10-24,2021-10,2021,0.73,0.51,0.03
Brazil,215313504,271861944,158281322,111550520,6864893,2021-10-25,2021-10,2021,0.74,0.52,0.03
Brazil,215313504,273720279,158619663,112584033,7348675,2021-10-26,2021-10,2021,0.74,0.52,0.03
Brazil,215313504,275436454,158890656,113647161,7732904,2021-10-27,2021-10,2021,0.74,0.53,0.04
Brazil,215313504,277057532,159171324,114610870,8109625,2021-10-28,2021-10,2021,0.74,0.53,0.04
Brazil,215313504,278686713,159412919,115562494,8548187,2021-10-29,2021-10,2021,0.74,0.54,0.04
Brazil,215313504,279265141,159518249,115897379,8687173,2021-10-30,2021-10,2021,0.74,0.54,0.04
