state,country,confirmed,deaths,date,month,year,population,confirmed_1d,deaths_1d,confirmed_moving_avg_7d,deaths_moving_avg_7d,confirmed_moving_avg_7d_rate_14,deaths_moving_avg_7d_rate_14,confirmed_trend,deaths_trend
Acre,Brazil,58506,1030,2021-03-03,2021-03,2021,881935,425,10,375,8,1.183,1.333,stable,stable
Acre,Brazil,58884,1037,2021-03-04,2021-03,2021,881935,378,7,376,8,1.343,1.333,stable,stable
Acre,Brazil,59500,1047,2021-03-05,2021-03,2021,881935,616,10,396,9,1.375,1.5,stable,stable
Acre,Brazil,60070,1054,2021-03-06,2021-03,2021,881950,570,7,391,9,1.498,1.5,stable,stable
Acre,Brazil,60288,1063,2021-03-07,2021-03,2021,881935,218,9,394,10,1.563,1.667,stable,stable
Acre,Brazil,60656,1066,2021-03-08,2021-03,2021,881935,368,3,395,8,1.82,1.333,stable,stable
Acre,Brazil,60721,1071,2021-03-09,2021-03,2021,881935,65,5,378,8,1.321,1.333,stable,stable
Acre,Brazil,61121,1083,2021-03-10,2021-03,2021,881935,400,12,374,8,1.3125,1.6,stable,stable
Acre,Brazil,61394,1094,2021-03-11,2021-03,2021,881935,273,11,359,9,1.181,1.8,stable,stable
Acre,Brazil,61709,1106,2021-03-12,2021-03,2021,881935,315,12,316,9,1.02,1.8,upward,stable
Acre,Brazil,62332,1117,2021-03-13,2021-03,2021,881935,623,11,324,9,0.8735,1.5,upward,stable
Acre,Brazil,62620,1122,2021-03-14,2021-03,2021,881935,288,5,334,9,0.85,1.8,upward,stable
Acre,Brazil,62940,1129,2021-03-15,2021-03,2021,881935,320,7,327,9,0.782,1.286,upward,stable
Acre,Brazil,63378,1140,2021-03-16,2021-03,2021,881935,438,11,380,10,1.067,1.429,upward,stable
Acre,Brazil,63721,1144,2021-03-17,2021-03,2021,881935,343,4,372,9,0.992,1.125,upward,upward
Acre,Brazil,64234,1156,2021-03-18,2021-03,2021,881935,513,12,406,9,1.08,1.125,upward,upward
Acre,Brazil,64878,1168,2021-03-19,2021-03,2021,881935,644,12,453,9,1.144,1.0,upward,upward
Acre,Brazil,65275,1176,2021-03-20,2021-03,2021,881935,397,8,421,9,1.077,1.0,upward,upward
Acre,Brazil,65446,1181,2021-03-21,2021-03,2021,881935,171,5,404,9,1.025,0.9,upward,upward
Acre,Brazil,65959,1190,2021-03-22,2021-03,2021,881935,513,9,432,9,1.094,1.125,upward,upward
Acre,Brazil,66290,1201,2021-03-23,2021-03,2021,881935,331,11,416,9,1.101,1.125,upward,upward
Acre,Brazil,66744,1210,2021-03-24,2021-03,2021,881935,454,9,432,10,1.155,1.25,stable,stable
Acre,Brazil,67292,1217,2021-03-25,2021-03,2021,881935,548,7,437,9,1.217,1.0,stable,upward
Acre,Brazil,67777,1224,2021-03-26,2021-03,2021,881935,485,7,415,8,1.313,0.8887,stable,upward
Acre,Brazil,68575,1229,2021-03-27,2021-03,2021,881935,798,5,472,8,1.457,0.8887,stable,upward
Acre,Brazil,68742,1234,2021-03-28,2021-03,2021,881935,167,5,471,8,1.41,0.8887,stable,upward
Acre,Brazil,68905,1240,2021-03-29,2021-03,2021,881935,163,6,421,8,1.287,0.8887,stable,upward
Acre,Brazil,69103,1253,2021-03-30,2021-03,2021,881935,198,13,402,8,1.058,0.8,upward,upward
Acre,Brazil,69657,1262,2021-03-31,2021-03,2021,881935,554,9,417,8,1.121,0.8887,upward,upward
Acre,Brazil,69988,1269,2021-04-01,2021-04,2021,881935,331,7,386,8,0.9507,0.8887,upward,upward
Acre,Brazil,70851,1280,2021-04-02,2021-04,2021,881935,863,11,440,8,0.971,0.8887,upward,upward
Acre,Brazil,71062,1284,2021-04-03,2021-04,2021,881935,211,4,356,8,0.8457,0.8887,upward,upward
Acre,Brazil,71157,1291,2021-04-04,2021-04,2021,881935,95,7,345,9,0.854,1.0,upward,upward
Acre,Brazil,71330,1298,2021-04-05,2021-04,2021,881935,173,7,347,9,0.803,1.0,upward,upward
Acre,Brazil,71420,1306,2021-04-06,2021-04,2021,881935,90,8,331,8,0.796,0.8887,upward,upward
Acre,Brazil,71880,1318,2021-04-07,2021-04,2021,881935,460,12,318,8,0.7363,0.8,downward,upward
Acre,Brazil,72403,1325,2021-04-08,2021-04,2021,881935,523,7,345,8,0.7896,0.8887,upward,upward
Acre,Brazil,72897,1334,2021-04-09,2021-04,2021,881935,494,9,293,8,0.706,1.0,downward,upward
Acre,Brazil,73275,1339,2021-04-10,2021-04,2021,881935,378,5,317,8,0.6714,1.0,downward,upward
Acre,Brazil,73425,1343,2021-04-11,2021-04,2021,881935,150,4,324,8,0.688,1.0,downward,upward
Acre,Brazil,73613,1353,2021-04-12,2021-04,2021,881935,188,10,327,8,0.777,1.0,upward,upward
Acre,Brazil,74007,1367,2021-04-13,2021-04,2021,881935,394,14,370,9,0.9204,1.125,upward,upward
Acre,Brazil,74533,1374,2021-04-14,2021-04,2021,881935,526,7,379,8,0.9087,1.0,upward,upward
Acre,Brazil,74664,1383,2021-04-15,2021-04,2021,881935,131,9,323,9,0.837,1.125,upward,upward
Acre,Brazil,75047,1395,2021-04-16,2021-04,2021,881935,383,12,308,9,0.7,1.125,downward,upward
Acre,Brazil,75334,1405,2021-04-17,2021-04,2021,881935,287,10,295,10,0.8286,1.25,upward,stable
Acre,Brazil,75405,1418,2021-04-18,2021-04,2021,881935,71,13,283,11,0.8203,1.223,upward,stable
Acre,Brazil,75599,1433,2021-04-19,2021-04,2021,881935,194,15,284,12,0.8184,1.333,upward,stable
Acre,Brazil,75640,1445,2021-04-20,2021-04,2021,881935,41,12,234,12,0.707,1.5,downward,stable
Acre,Brazil,75879,1449,2021-04-21,2021-04,2021,881935,239,4,193,11,0.607,1.375,downward,stable
Acre,Brazil,76212,1458,2021-04-22,2021-04,2021,881935,333,9,222,11,0.6436,1.375,downward,stable
Acre,Brazil,76376,1465,2021-04-23,2021-04,2021,881935,164,7,190,10,0.6484,1.25,downward,stable
Acre,Brazil,76603,1476,2021-04-24,2021-04,2021,881935,227,11,182,11,0.574,1.375,downward,stable
Acre,Brazil,76747,1480,2021-04-25,2021-04,2021,881935,144,4,192,9,0.593,1.125,downward,upward
Acre,Brazil,76971,1488,2021-04-26,2021-04,2021,881935,224,8,196,8,0.5996,1.0,downward,upward
Acre,Brazil,77146,1500,2021-04-27,2021-04,2021,881935,175,12,216,8,0.584,0.8887,downward,upward
Acre,Brazil,77298,1517,2021-04-28,2021-04,2021,881935,152,17,203,10,0.5356,1.25,downward,stable
Acre,Brazil,77535,1525,2021-04-29,2021-04,2021,881935,237,8,189,10,0.585,1.111,downward,upward
Acre,Brazil,77803,1529,2021-04-30,2021-04,2021,881935,268,4,204,10,0.662,1.111,downward,upward
Acre,Brazil,78016,1534,2021-05-01,2021-05,2021,881935,213,5,202,9,0.6846,0.9,downward,upward
Acre,Brazil,78152,1546,2021-05-02,2021-05,2021,881935,136,12,201,10,0.7104,0.909,downward,upward
Acre,Brazil,78325,1552,2021-05-03,2021-05,2021,881935,173,6,194,10,0.683,0.8335,downward,upward
Acre,Brazil,78440,1555,2021-05-04,2021-05,2021,881935,115,3,185,8,0.7905,0.6665,upward,downward
Acre,Brazil,78610,1563,2021-05-05,2021-05,2021,881935,170,8,188,7,0.974,0.636,upward,downward
Acre,Brazil,78889,1568,2021-05-06,2021-05,2021,881935,279,5,194,7,0.874,0.636,upward,downward
Acre,Brazil,79100,1575,2021-05-07,2021-05,2021,881935,211,7,186,7,0.979,0.7,upward,downward
Acre,Brazil,79276,1585,2021-05-08,2021-05,2021,881935,176,10,180,8,0.989,0.727,upward,downward
Acre,Brazil,79351,1589,2021-05-09,2021-05,2021,881935,75,4,172,7,0.896,0.778,upward,upward
Acre,Brazil,79476,1596,2021-05-10,2021-05,2021,881935,125,7,165,7,0.842,0.875,upward,upward
Acre,Brazil,79510,1599,2021-05-11,2021-05,2021,881935,34,3,153,7,0.7085,0.875,downward,upward
Acre,Brazil,79718,1601,2021-05-12,2021-05,2021,881935,208,2,159,6,0.783,0.6,upward,downward
Acre,Brazil,79955,1607,2021-05-13,2021-05,2021,881935,237,6,153,6,0.8096,0.6,upward,downward
Acre,Brazil,80177,1608,2021-05-14,2021-05,2021,881935,222,1,154,5,0.755,0.5,upward,downward
Acre,Brazil,80338,1612,2021-05-15,2021-05,2021,881935,161,4,152,4,0.7524,0.4443,upward,downward
Acre,Brazil,80399,1614,2021-05-16,2021-05,2021,881935,61,2,150,4,0.746,0.4,downward,downward
Acre,Brazil,80561,1620,2021-05-17,2021-05,2021,881935,162,6,155,4,0.799,0.4,upward,downward
Acre,Brazil,80590,1625,2021-05-18,2021-05,2021,881935,29,5,155,4,0.838,0.5,upward,downward
Acre,Brazil,80688,1631,2021-05-19,2021-05,2021,881935,98,6,139,5,0.7393,0.7144,downward,downward
Acre,Brazil,80797,1632,2021-05-20,2021-05,2021,881935,109,1,121,4,0.6235,0.5713,downward,downward
Acre,Brazil,81235,1632,2021-05-21,2021-05,2021,881935,438,0,152,4,0.8174,0.5713,upward,downward
Acre,Brazil,81348,1633,2021-05-22,2021-05,2021,881935,113,1,145,3,0.8057,0.375,upward,downward
Acre,Brazil,81413,1635,2021-05-23,2021-05,2021,881935,65,2,145,3,0.8433,0.4285,upward,downward
Acre,Brazil,81505,1642,2021-05-24,2021-05,2021,881935,92,7,135,4,0.8184,0.5713,upward,downward
Acre,Brazil,81651,1649,2021-05-25,2021-05,2021,881935,146,7,152,4,0.9937,0.5713,upward,downward
Acre,Brazil,81850,1652,2021-05-26,2021-05,2021,881935,199,3,166,3,1.044,0.5,upward,downward
Acre,Brazil,81980,1652,2021-05-27,2021-05,2021,881935,130,0,169,3,1.1045,0.5,upward,downward
Acre,Brazil,82149,1655,2021-05-28,2021-05,2021,881935,169,3,131,4,0.8506,0.8,upward,upward
Acre,Brazil,82207,1657,2021-05-29,2021-05,2021,881935,58,2,123,4,0.809,1.0,upward,upward
Acre,Brazil,82478,1659,2021-05-30,2021-05,2021,881935,271,2,153,4,1.02,1.0,upward,upward
Acre,Brazil,82524,1662,2021-05-31,2021-05,2021,881935,46,3,146,3,0.942,0.75,upward,downward
Acre,Brazil,82581,1669,2021-06-01,2021-06,2021,881935,57,7,133,3,0.858,0.75,upward,downward
Acre,Brazil,82753,1676,2021-06-02,2021-06,2021,881935,172,7,129,4,0.928,0.8,upward,upward
Acre,Brazil,82937,1680,2021-06-03,2021-06,2021,881935,184,4,137,4,1.132,1.0,upward,upward
Acre,Brazil,83123,1682,2021-06-04,2021-06,2021,881935,186,2,140,4,0.921,1.0,upward,upward
Acre,Brazil,83240,1686,2021-06-05,2021-06,2021,881935,117,4,148,5,1.0205,1.667,upward,stable
Acre,Brazil,83306,1690,2021-06-06,2021-06,2021,881935,66,4,119,5,0.821,1.667,upward,stable
Acre,Brazil,83350,1692,2021-06-07,2021-06,2021,881935,44,2,118,5,0.874,1.25,upward,stable
Acre,Brazil,83409,1697,2021-06-08,2021-06,2021,881935,59,5,119,4,0.7827,1.0,upward,upward
Acre,Brazil,83473,1697,2021-06-09,2021-06,2021,881935,64,0,103,3,0.6206,1.0,downward,upward
Acre,Brazil,83665,1699,2021-06-10,2021-06,2021,881935,192,2,104,3,0.615,1.0,downward,upward
Acre,Brazil,84039,1701,2021-06-11,2021-06,2021,881935,374,2,131,3,1.0,0.75,upward,downward
Acre,Brazil,84104,1707,2021-06-12,2021-06,2021,881935,65,6,124,3,1.008,0.75,upward,downward
Acre,Brazil,84174,1712,2021-06-13,2021-06,2021,881935,70,5,124,4,0.8105,1.0,upward,upward
Acre,Brazil,84337,1719,2021-06-14,2021-06,2021,881935,163,7,141,4,0.966,1.333,upward,stable
Acre,Brazil,84404,1721,2021-06-15,2021-06,2021,881935,67,2,143,4,1.075,1.333,upward,stable
Acre,Brazil,84450,1723,2021-06-16,2021-06,2021,881935,46,2,140,4,1.085,1.0,upward,upward
Acre,Brazil,84487,1725,2021-06-17,2021-06,2021,881935,37,2,118,4,0.8613,1.0,upward,upward
Acre,Brazil,84687,1728,2021-06-18,2021-06,2021,881935,200,3,93,4,0.664,1.0,downward,upward
Acre,Brazil,84812,1729,2021-06-19,2021-06,2021,881935,125,1,102,4,0.689,0.8,downward,upward
Acre,Brazil,84849,1730,2021-06-20,2021-06,2021,881935,37,1,97,3,0.815,0.6,upward,downward
Acre,Brazil,84918,1732,2021-06-21,2021-06,2021,881935,69,2,83,2,0.7036,0.4,downward,downward
Acre,Brazil,84937,1734,2021-06-22,2021-06,2021,881935,19,2,77,2,0.647,0.5,downward,downward
Acre,Brazil,85043,1734,2021-06-23,2021-06,2021,881935,106,0,85,2,0.825,0.6665,upward,downward
Acre,Brazil,85128,1735,2021-06-24,2021-06,2021,881935,85,1,92,2,0.885,0.6665,upward,downward
Acre,Brazil,85273,1736,2021-06-25,2021-06,2021,881935,145,1,84,2,0.641,0.6665,downward,downward
Acre,Brazil,85383,1736,2021-06-26,2021-06,2021,881935,110,0,82,1,0.661,0.3333,downward,downward
Acre,Brazil,85463,1736,2021-06-27,2021-06,2021,881935,80,0,88,1,0.7095,0.25,downward,downward
Acre,Brazil,85496,1736,2021-06-28,2021-06,2021,881935,33,0,83,1,0.589,0.25,downward,downward
Acre,Brazil,85526,1738,2021-06-29,2021-06,2021,881935,30,2,85,1,0.594,0.25,downward,downward
Acre,Brazil,85556,1738,2021-06-30,2021-06,2021,881935,30,0,74,1,0.529,0.25,downward,downward
Acre,Brazil,85736,1741,2021-07-01,2021-07,2021,881935,180,3,87,1,0.7373,0.25,downward,downward
Acre,Brazil,85797,1742,2021-07-02,2021-07,2021,881935,61,1,75,1,0.8066,0.25,upward,downward
Acre,Brazil,85871,1746,2021-07-03,2021-07,2021,881935,74,4,70,2,0.686,0.5,downward,downward
Acre,Brazil,85897,1752,2021-07-04,2021-07,2021,881935,26,6,62,3,0.639,1.0,downward,upward
Acre,Brazil,85983,1757,2021-07-05,2021-07,2021,881935,86,5,70,3,0.8433,1.5,upward,stable
Acre,Brazil,85997,1760,2021-07-06,2021-07,2021,881935,14,3,68,4,0.8833,2.0,upward,stable
Acre,Brazil,86120,1761,2021-07-07,2021-07,2021,881935,123,1,81,4,0.953,2.0,upward,stable
Acre,Brazil,86296,1761,2021-07-08,2021-07,2021,881935,176,0,80,3,0.8696,1.5,upward,stable
Acre,Brazil,86400,1764,2021-07-09,2021-07,2021,881935,104,3,87,4,1.036,2.0,upward,stable
Acre,Brazil,86454,1766,2021-07-10,2021-07,2021,881935,54,2,84,3,1.024,3.0,upward,stable
Acre,Brazil,86467,1766,2021-07-11,2021-07,2021,881935,13,0,82,2,0.9316,2.0,upward,stable
Acre,Brazil,86481,1767,2021-07-12,2021-07,2021,881935,14,1,72,2,0.8677,2.0,upward,stable
Acre,Brazil,86492,1770,2021-07-13,2021-07,2021,881935,11,3,71,2,0.8354,2.0,upward,stable
Acre,Brazil,86544,1771,2021-07-14,2021-07,2021,881935,52,1,61,2,0.824,2.0,upward,stable
Acre,Brazil,86595,1774,2021-07-15,2021-07,2021,881935,51,3,43,2,0.4941,2.0,downward,stable
Acre,Brazil,86644,1776,2021-07-16,2021-07,2021,881935,49,2,35,2,0.4666,2.0,downward,stable
Acre,Brazil,86664,1776,2021-07-17,2021-07,2021,881935,20,0,30,2,0.4285,1.0,downward,upward
Acre,Brazil,86680,1777,2021-07-18,2021-07,2021,881935,16,1,31,2,0.5,0.6665,downward,downward
Acre,Brazil,86729,1779,2021-07-19,2021-07,2021,881935,49,2,36,2,0.514,0.6665,downward,downward
Acre,Brazil,86743,1780,2021-07-20,2021-07,2021,881935,14,1,36,2,0.5293,0.5,downward,downward
Acre,Brazil,86757,1791,2021-07-21,2021-07,2021,881935,14,11,31,3,0.3828,0.75,downward,downward
Acre,Brazil,86844,1793,2021-07-22,2021-07,2021,881935,87,2,36,3,0.45,1.0,downward,upward
Acre,Brazil,86855,1796,2021-07-23,2021-07,2021,881935,11,3,31,3,0.3562,0.75,downward,downward
Acre,Brazil,86936,1796,2021-07-24,2021-07,2021,881935,81,0,39,3,0.4644,1.0,downward,upward
Acre,Brazil,86952,1796,2021-07-25,2021-07,2021,881935,16,0,39,3,0.4756,1.5,downward,stable
Acre,Brazil,86987,1797,2021-07-26,2021-07,2021,881935,35,1,37,3,0.5137,1.5,downward,stable
Acre,Brazil,86999,1797,2021-07-27,2021-07,2021,881935,12,0,37,3,0.521,1.5,downward,stable
Acre,Brazil,87053,1798,2021-07-28,2021-07,2021,881935,54,1,43,1,0.705,0.5,downward,downward
Acre,Brazil,87073,1798,2021-07-29,2021-07,2021,881935,20,0,33,1,0.7676,0.5,upward,downward
Acre,Brazil,87128,1798,2021-07-30,2021-07,2021,881935,55,0,39,1,1.114,0.5,upward,downward
Acre,Brazil,87141,1799,2021-07-31,2021-07,2021,881935,13,1,30,1,1.0,0.5,upward,downward
Acre,Brazil,87147,1800,2021-08-01,2021-08,2021,881935,6,1,28,1,0.9033,0.5,upward,downward
Acre,Brazil,87186,1802,2021-08-02,2021-08,2021,881935,39,2,29,1,0.8057,0.5,upward,downward
Acre,Brazil,87188,1802,2021-08-03,2021-08,2021,881935,2,0,27,1,0.75,0.5,downward,downward
Acre,Brazil,87232,1802,2021-08-04,2021-08,2021,881935,44,0,26,1,0.839,0.3333,upward,downward
Acre,Brazil,87291,1802,2021-08-05,2021-08,2021,881935,59,0,32,1,0.8887,0.3333,upward,downward
Acre,Brazil,87379,1804,2021-08-06,2021-08,2021,881935,88,2,36,1,1.161,0.3333,stable,downward
Acre,Brazil,87389,1804,2021-08-07,2021-08,2021,881935,10,0,36,1,0.923,0.3333,upward,downward
Acre,Brazil,87389,1804,2021-08-08,2021-08,2021,881935,0,0,35,1,0.8975,0.3333,upward,downward
Acre,Brazil,87422,1804,2021-08-09,2021-08,2021,881935,33,0,34,1,0.919,0.3333,upward,downward
Acre,Brazil,87423,1804,2021-08-10,2021-08,2021,881935,1,0,34,1,0.919,0.3333,upward,downward
Acre,Brazil,87468,1805,2021-08-11,2021-08,2021,881935,45,1,34,1,0.7905,1.0,upward,upward
Acre,Brazil,87476,1807,2021-08-12,2021-08,2021,881935,8,2,27,1,0.8184,1.0,upward,upward
Acre,Brazil,87485,1807,2021-08-13,2021-08,2021,881935,9,0,16,1,0.4102,1.0,downward,upward
Acre,Brazil,87487,1807,2021-08-14,2021-08,2021,881935,2,0,14,1,0.4666,1.0,downward,upward
Acre,Brazil,87489,1807,2021-08-15,2021-08,2021,881935,2,0,15,1,0.5356,1.0,downward,upward
Acre,Brazil,87492,1808,2021-08-16,2021-08,2021,881935,3,1,10,1,0.3447,1.0,downward,upward
Acre,Brazil,87602,1808,2021-08-17,2021-08,2021,881935,110,0,26,1,0.963,1.0,upward,upward
Acre,Brazil,87607,1808,2021-08-18,2021-08,2021,881935,5,0,20,1,0.769,1.0,upward,upward
Acre,Brazil,87638,1808,2021-08-19,2021-08,2021,881935,31,0,24,1,0.75,1.0,downward,upward
Acre,Brazil,87671,1809,2021-08-20,2021-08,2021,881935,33,1,27,1,0.75,1.0,downward,upward
Acre,Brazil,87678,1809,2021-08-21,2021-08,2021,881935,7,0,28,1,0.778,1.0,upward,upward
Acre,Brazil,87680,1809,2021-08-22,2021-08,2021,881935,2,0,28,1,0.8,1.0,upward,upward
Acre,Brazil,87682,1811,2021-08-23,2021-08,2021,881935,2,2,28,1,0.8237,1.0,upward,upward
Acre,Brazil,87724,1811,2021-08-24,2021-08,2021,881935,42,0,18,1,0.5293,1.0,downward,upward
Acre,Brazil,87729,1813,2021-08-25,2021-08,2021,881935,5,2,18,1,0.5293,1.0,downward,upward
Acre,Brazil,87761,1813,2021-08-26,2021-08,2021,881935,32,0,18,1,0.6665,1.0,downward,upward
Acre,Brazil,87798,1813,2021-08-27,2021-08,2021,881935,37,0,19,1,1.1875,1.0,stable,upward
Acre,Brazil,87802,1813,2021-08-28,2021-08,2021,881935,4,0,18,1,1.286,1.0,stable,upward
Acre,Brazil,87803,1814,2021-08-29,2021-08,2021,881935,1,1,18,1,1.2,1.0,stable,upward
Acre,Brazil,87804,1814,2021-08-30,2021-08,2021,881935,1,0,18,1,1.8,1.0,stable,upward
Acre,Brazil,87823,1814,2021-08-31,2021-08,2021,881935,19,0,15,1,0.577,1.0,downward,upward
Acre,Brazil,87831,1814,2021-09-01,2021-09,2021,881935,8,0,15,1,0.75,1.0,downward,upward
Acre,Brazil,87835,1814,2021-09-02,2021-09,2021,881935,4,0,11,1,0.4583,1.0,downward,upward
Acre,Brazil,87855,1814,2021-09-03,2021-09,2021,881935,20,0,9,1,0.3333,1.0,downward,upward
Acre,Brazil,87875,1814,2021-09-04,2021-09,2021,881935,20,0,11,1,0.3928,1.0,downward,upward
Acre,Brazil,87875,1814,2021-09-05,2021-09,2021,881935,0,0,11,0,0.3928,0.0,downward,downward
Acre,Brazil,87877,1814,2021-09-06,2021-09,2021,881935,2,0,11,0,0.3928,0.0,downward,downward
Acre,Brazil,87899,1815,2021-09-07,2021-09,2021,881935,22,1,11,1,0.6113,1.0,downward,upward
Acre,Brazil,87900,1815,2021-09-08,2021-09,2021,881935,1,0,10,1,0.5557,1.0,downward,upward
Acre,Brazil,87903,1815,2021-09-09,2021-09,2021,881935,3,0,10,1,0.5557,1.0,downward,upward
Acre,Brazil,87907,1816,2021-09-10,2021-09,2021,881935,4,1,8,1,0.4211,1.0,downward,upward
